,n_peaks_prewhitening,initial_peaks_significant,pulse_GP
179437520,1.0,True,True
404965649,2.0,True,True
40185978,2.0,True,True
181445828,4.0,True,True
182735393,0.0,False,False
181446521,2.0,True,True
277173427,3.0,True,True
181453967,0.0,False,False
182300254,0.0,False,False
425084797,1.0,True,True
182293477,2.0,True,True
231798010,0.0,False,False
181453919,2.0,True,True
276860287,3.0,True,True
179576115,1.0,True,True
276864159,1.0,True,True
373606593,1.0,True,True
181660065,0.0,False,False
40716825,0.0,False,False
181051257,0.0,False,False
287400445,1.0,True,True
231743198,1.0,True,True
30855727,3.0,True,True
30322273,0.0,False,False
181878924,0.0,False,False
30189775,1.0,True,True
40603917,2.0,True,True
276793048,6.0,True,True
267547804,8.0,True,True
277101162,0.0,False,False
181446366,3.0,True,True
425058250,20.0,True,True
31013470,30.0,True,True
179435530,20.0,True,True
30526897,2.0,False,False
279958567,4.0,True,True
404850274,10.0,True,True
277174595,1.0,True,True
425083216,4.0,True,True
40716446,30.0,True,True
404850155,2.0,True,True
179437523,0.0,False,False
404934011,4.0,True,True
389564663,17.0,True,True
179583146,1.0,True,True
277103906,0.0,False,False
30267198,10.0,True,True
31017334,8.0,True,True
31183609,15.0,True,True
181042381,0.0,False,False
30527145,0.0,False,False
40404470,5.0,True,True
30031510,0.0,False,False
391745696,1.0,True,True
180618091,7.0,True,True
183495106,0.0,False,False
181043309,30.0,True,True
404965397,1.0,True,True
40345470,1.0,True,True
181446812,1.0,True,True
31181424,4.0,True,True
389365864,0.0,False,False
179639601,0.0,False,False
30266478,0.0,False,False
29984014,9.0,True,True
277105522,2.0,True,True
179309868,1.0,True,True
277171889,6.0,True,True
279957640,7.0,True,True
404769646,2.0,True,True
277108449,13.0,True,True
181446808,2.0,True,True
277300045,2.0,True,True
425083794,1.0,True,True
181880034,0.0,False,False
391812839,1.0,True,True
373846742,1.0,True,True
179206253,2.0,True,True
404852217,1.0,True,True
279957197,1.0,True,True
277108350,2.0,True,True
30931197,7.0,True,True
389368279,1.0,True,True
404934120,1.0,True,True
391815407,25.0,True,True
404851968,1.0,True,True
182730122,0.0,False,False
276934352,0.0,False,False
276865044,3.0,True,True
277021897,1.0,True,True
277101323,1.0,True,True
180609896,2.0,True,True
276667896,1.0,True,True
279957325,20.0,True,True
404768745,10.0,True,True
391813303,3.0,True,True
179445102,5.0,True,True
31106686,18.0,True,True
404850840,15.0,True,True
404851936,4.0,True,True
277172433,1.0,True,True
279957416,15.0,True,True
277025859,4.0,True,True
40716826,1.0,True,True
276869095,4.0,True,True
727599699,4.0,True,True
276865125,17.0,True,True
373679564,6.0,True,True
179376451,2.0,True,True
40515236,2.0,True,True
373522149,2.0,True,True
404934352,2.0,True,True
277025094,2.0,True,True
40518041,30.0,True,True
277172664,5.0,True,True
404851207,6.0,True,True
181454398,5.0,True,True
425081475,0.0,False,False
30113151,0.0,False,False
276787778,1.0,True,True
277024372,2.0,True,True
404933915,2.0,True,True
231743190,1.0,True,True
276864037,21.0,True,True
179203855,25.0,True,True
276793444,3.0,True,True
180616968,3.0,True,True
277109064,4.0,True,True
179639033,0.0,False,False
389749856,4.0,True,True
391814255,3.0,True,True
181050536,13.0,True,True
181042742,0.0,False,False
183117215,1.0,True,True
30112388,1.0,True,True
31015738,23.0,True,True
279956577,1.0,True,True
277100703,4.0,True,True
180792166,0.0,False,False
404852071,13.0,True,True
287403631,6.0,True,True
294872353,14.0,True,True
181042827,1.0,True,True
181879931,0.0,False,False
391810734,6.0,True,True
179204591,2.0,True,True
30722560,7.0,True,True
404933493,7.0,True,True
277099961,0.0,False,False
277298575,2.0,True,True
277172038,12.0,True,True
40717315,1.0,True,True
182730111,1.0,True,True
425084965,1.0,True,True
287400952,7.0,True,True
182730312,0.0,False,False
40516899,3.0,True,True
31109182,8.0,True,True
391746270,5.0,True,True
277300709,0.0,False,False
276863889,4.0,True,True
404965983,1.0,True,True
30275228,2.0,True,True
287400996,0.0,False,False
179637509,6.0,True,True
276793626,12.0,True,True
30848631,0.0,False,False
276863576,3.0,True,True
391746008,1.0,True,True
389363675,0.0,False,False
179208856,27.0,True,True
181446250,16.0,True,True
394214422,5.0,True,True
276864600,4.0,True,True
389364321,0.0,False,False
276936320,7.0,True,True
277172728,5.0,True,True
276864697,25.0,True,True
404967301,6.0,True,True
276869010,9.0,True,True
179586885,1.0,True,True
277022505,1.0,True,True
30759304,0.0,False,False
276860194,2.0,True,True
279951435,9.0,True,True
391809072,11.0,True,True
179304909,6.0,True,True
30113318,4.0,True,True
40343782,12.0,True,True
373765872,9.0,True,True
40515514,4.0,True,True
40796053,2.0,True,True
30317301,20.0,True,True
373521839,0.0,False,False
276864021,2.0,True,True
276936458,2.0,True,True
182730317,5.0,True,True
180792170,1.0,True,True
182905190,6.0,True,True
180609595,1.0,True,True
180609829,0.0,False,False
