,LikelyRR,LikelyCep
179437520,False,False
404965649,False,False
40185978,False,False
181445828,False,False
182735393,False,False
181446521,False,False
277173427,False,False
181453967,False,False
182300254,False,False
425084797,False,False
182293477,False,False
231798010,False,False
181453919,False,False
276860287,False,False
179576115,False,False
276864159,False,False
373606593,False,False
181660065,False,False
40716825,False,False
181051257,False,False
287400445,False,False
231743198,False,False
30855727,False,False
30322273,False,False
181878924,False,False
30189775,False,False
40603917,False,False
276793048,False,False
267547804,False,False
277101162,False,False
181446366,False,False
425058250,False,False
31013470,False,False
179435530,False,False
30526897,False,False
279958567,False,False
404850274,False,False
277174595,False,False
425083216,False,False
40716446,False,False
404850155,False,False
179437523,False,False
404934011,False,False
389564663,False,False
179583146,False,False
277103906,False,False
30267198,False,False
31017334,False,False
31183609,False,False
181042381,False,False
30527145,False,False
40404470,False,False
30031510,False,False
391745696,False,False
180618091,False,False
183495106,False,False
181043309,False,False
404965397,False,False
40345470,False,False
181446812,False,False
31181424,False,False
389365864,False,False
179639601,False,False
30266478,False,False
29984014,False,False
277105522,False,False
179309868,False,False
277171889,False,False
279957640,False,False
404769646,False,False
277108449,False,False
181446808,False,False
277300045,False,False
425083794,False,False
181880034,False,False
391812839,False,False
373846742,False,False
179206253,False,False
404852217,False,False
279957197,False,False
277108350,False,False
30931197,False,False
389368279,False,False
404934120,False,False
391815407,False,False
404851968,False,False
182730122,False,False
276934352,False,False
276865044,False,False
277021897,False,False
277101323,False,False
180609896,False,False
276667896,False,False
279957325,False,False
404768745,False,False
391813303,False,False
179445102,False,False
31106686,False,False
404850840,False,False
404851936,False,False
277172433,False,False
279957416,False,False
277025859,False,False
40716826,False,False
276869095,False,False
727599699,False,False
276865125,False,False
373679564,False,False
179376451,False,False
40515236,False,False
373522149,False,False
404934352,False,False
277025094,False,False
40518041,False,False
277172664,False,False
404851207,False,False
181454398,False,False
425081475,False,False
30113151,False,False
276787778,False,False
277024372,False,False
404933915,False,False
231743190,False,False
276864037,False,False
179203855,False,False
276793444,False,False
180616968,False,False
277109064,False,False
179639033,False,False
389749856,False,False
391814255,False,False
181050536,False,False
181042742,False,False
183117215,False,False
30112388,False,False
31015738,False,False
279956577,False,False
277100703,False,False
180792166,False,False
404852071,False,False
287403631,False,False
294872353,False,False
181042827,False,False
181879931,False,False
391810734,False,False
179204591,False,False
30722560,False,False
404933493,False,False
277099961,False,False
277298575,False,False
277172038,False,False
40717315,False,False
182730111,False,False
425084965,False,False
287400952,False,False
182730312,False,False
40516899,False,False
31109182,False,False
391746270,False,False
277300709,False,False
276863889,False,False
404965983,False,False
30275228,False,False
287400996,False,False
179637509,False,False
276793626,False,False
30848631,False,False
276863576,False,False
391746008,False,False
389363675,False,False
179208856,False,False
181446250,False,False
394214422,False,False
276864600,False,False
389364321,False,False
276936320,False,False
277172728,False,False
276864697,False,False
404967301,False,False
276869010,True,False
179586885,False,False
277022505,False,False
30759304,False,False
276860194,False,False
279951435,False,False
391809072,False,False
179304909,False,False
30113318,False,False
40343782,False,False
373765872,False,False
40515514,False,False
40796053,False,False
30317301,False,False
373521839,False,False
276864021,False,False
276936458,False,False
182730317,False,False
180792170,False,False
182905190,False,False
180609595,False,False
180609829,False,False
