,LikelyBCep
179437520,False
404965649,False
40185978,False
181445828,False
182735393,False
181446521,False
277173427,False
181453967,False
182300254,False
425084797,False
182293477,False
231798010,False
181453919,False
276860287,False
179576115,True
276864159,True
373606593,True
181660065,False
40716825,False
181051257,False
287400445,False
231743198,True
30855727,True
30322273,False
181878924,False
30189775,False
40603917,False
276793048,True
267547804,False
277101162,False
181446366,False
425058250,False
31013470,True
179435530,False
30526897,True
279958567,False
404850274,False
277174595,True
425083216,False
40716446,True
404850155,True
179437523,False
404934011,False
389564663,False
179583146,True
277103906,False
30267198,True
31017334,False
31183609,False
181042381,False
30527145,False
40404470,False
30031510,False
391745696,True
180618091,False
183495106,False
181043309,False
404965397,True
40345470,True
181446812,False
31181424,False
389365864,False
179639601,False
30266478,False
29984014,False
277105522,True
179309868,False
277171889,False
279957640,False
404769646,True
277108449,False
181446808,False
277300045,False
425083794,True
181880034,False
391812839,True
373846742,True
179206253,True
404852217,True
279957197,True
277108350,True
30931197,True
389368279,True
404934120,False
391815407,True
404851968,False
182730122,False
276934352,False
276865044,False
277021897,False
277101323,True
180609896,False
276667896,True
279957325,False
404768745,False
391813303,False
179445102,True
31106686,False
404850840,False
404851936,False
277172433,False
279957416,False
277025859,False
40716826,True
276869095,False
727599699,False
276865125,True
373679564,False
179376451,False
40515236,True
373522149,True
404934352,True
277025094,False
40518041,False
277172664,False
404851207,False
181454398,False
425081475,False
30113151,False
276787778,True
277024372,False
404933915,False
231743190,True
276864037,False
179203855,False
276793444,False
180616968,False
277109064,False
179639033,False
389749856,False
391814255,False
181050536,False
181042742,False
183117215,False
30112388,True
31015738,False
279956577,False
277100703,True
180792166,False
404852071,False
287403631,False
294872353,False
181042827,False
181879931,False
391810734,False
179204591,False
30722560,False
404933493,False
277099961,False
277298575,False
277172038,False
40717315,False
182730111,False
425084965,False
287400952,False
182730312,False
40516899,False
31109182,False
391746270,True
277300709,False
276863889,False
404965983,False
30275228,False
287400996,False
179637509,False
276793626,False
30848631,False
276863576,True
391746008,True
389363675,False
179208856,False
181446250,False
394214422,False
276864600,False
389364321,False
276936320,False
277172728,False
276864697,True
404967301,False
276869010,True
179586885,False
277022505,False
30759304,False
276860194,False
279951435,True
391809072,True
179304909,False
30113318,False
40343782,False
373765872,False
40515514,True
40796053,False
30317301,False
373521839,False
276864021,True
276936458,False
182730317,False
180792170,False
182905190,False
180609595,False
180609829,False
